,LAT,LON,INCOME,MEDIAN,STDEV
20904,40.6733751,-73.96329,49970,39119,45362
20905,42.790822799999994,-78.7218638,102294,82982,72055
20906,40.6343541,-73.9978229,63636,42548,59629
20907,40.676167,-73.954356,67844,51185,59776
20908,40.6815084,-73.9572531,89025,61528,71210
20909,40.68513170000001,-73.9567616,73121,65713,64656
20910,40.6360998,-73.9862206,31285,300000,29175
20911,40.6321905,-73.9896876,47472,33179,44549
20912,40.6922221,-73.9538035,76176,62768,61857
20913,40.682881,-73.9519012,71584,55610,50529
20914,40.621362899999994,-73.98999309999999,61235,47755,51792
20915,40.6198289,-73.99213909999999,52292,35761,40575
20916,42.92536810000001,-78.6781996,90787,84357,56679
20917,40.6973922,-73.95128620000001,26673,24335,19518
20918,40.6949675,-73.946224,62222,42987,61407
20919,40.618728499999996,-73.9970786,78804,50024,66749
20920,40.6869045,-73.9446206,68875,60073,54220
20921,40.6104494,-73.99036190000001,61680,51030,57252
20922,40.6081765,-73.99273840000001,72333,61248,52109
20923,40.6838975,-73.93817890000001,57504,53364,47773
20924,40.6897594,-73.9393446,58928,38554,46927
20925,40.60025,-74.0054401,0,0,0
20926,40.6994266,-73.9420913,99738,300000,70337
20927,43.021179499999995,-78.4939273,60617,48026,49981
20928,40.69563529999999,-73.9354275,36631,26562,41350
20929,40.603174100000004,-73.9943478,61977,52869,45015
20930,40.6874968,-73.9329582,88046,56010,81342
20931,40.6009574,-73.9930188,70742,63591,53668
20932,40.5974031,-73.9887444,91310,79549,68588
20933,40.590283899999996,-73.99650030000001,0,0,0
20934,40.8175801,-73.8660962,30247,18313,37674
20935,40.675583,-73.9262196,33089,17045,33271
20936,40.6765714,-73.94430290000001,49176,35937,52499
20937,40.6769132,-73.9499243,61439,55965,54624
20938,40.6668692,-73.95218340000001,54976,40018,53599
20939,42.6456039,-78.780824,82710,74287,55791
20940,40.5765299,-73.9882138,53633,44938,33744
20941,40.5763672,-73.99768470000001,56102,42970,61647
20942,40.6641582,-73.94200740000001,42578,32617,36075
20943,40.5759939,-74.0085888,95005,78502,69374
20944,40.6712119,-73.94201509999999,27137,14959,33218
20945,40.574107700000006,-73.9968627,19928,14349,20223
20946,40.58119620000001,-73.9833532,61091,44026,56319
20947,40.5701691,-73.9788364,0,0,0
20948,40.664405,-73.93347220000001,57966,52741,48055
20949,40.5757847,-73.9655708,66646,30065,77902
20950,42.5733459,-78.8594723,68373,65129,40281
20951,40.578117,-73.9640009,65950,54994,59638
20952,40.5828706,-73.9637677,52247,43965,38587
20953,40.5878492,-73.963165,77740,62614,58525
20954,40.683948799999996,-73.91521540000001,47378,28699,47155
20955,40.68762,-73.9215167,62648,46432,50907
20956,40.681047799999995,-73.9254263,25383,15637,24418
20957,40.6874554,-73.9267891,27004,16423,31311
20958,40.5929248,-73.96925159999999,67932,69530,56788
20959,40.699795,-73.933655,54724,49140,42524
20960,40.6929683,-73.9247375,40142,17438,47726
20961,42.911513799999994,-78.85965470000001,26968,20239,24927
20962,40.6902356,-73.917553,47778,29396,48912
20963,40.6845226,-73.9082094,39345,28047,37720
20964,40.684294,-73.90120859999999,0,0,0
20965,40.6878787,-73.9071509,29406,16442,33176
20966,40.6024233,-73.9679363,55517,28980,71708
20967,40.6054,-73.96485159999999,46868,39180,37723
20968,40.6970293,-73.92403840000001,66517,62611,51711
20969,40.7014485,-73.9309587,58993,48199,45430
20970,40.6056458,-73.98432659999999,49779,42088,40934
20971,40.6996605,-73.919698,55790,46470,42610
20972,43.0750176,-78.4776988,105484,300000,13540
